"","Geneid","E1_S1_L001.bam","E2_S2_L001.bam","E3_S3_L001.bam","E4_S4_L001.bam","E5_S5_L001.bam","E6_S6_L001.bam","L1_S1_L001.bam","L2_S2_L001.bam","L3_S3_L001.bam","L4_S4_L001.bam","L5_S5_L001.bam","L6_S6_L001.bam","enriched_mean","enriched_sd","unenriched_mean","unenriched_sd","enriched_m_mean","enriched_f_mean","unenriched_m_mean","unenriched_f_mean","enriched_m_sd","enriched_f_sd","unenriched_m_sd","unenriched_f_sd"
"46","cyp2k18",222.410476559847,302.732087700703,178.466254961765,428.930759730016,494.730027935303,408.043926464517,181.508219941819,1011.5079097119,366.165352044945,396.043717812772,613.264066761726,483.027598659909,339.218922225359,124.728281557066,508.586144155511,284.41886620258,234.536273074105,443.901571376612,519.72716056622,497.445127744802,63.0140897133675,45.2406227639412,435.78755492998,109.325517872369
"47","cyp2k19",3037.46871056282,1397.66624911083,1416.2160877611,2673.2514423437,1928.47705006938,1939.67292316985,8969.6780534355,8295.7600429613,7224.87549465026,5210.21664613123,4750.08775385761,4499.31263196174,2065.45874383628,665.772369411926,6491.65510383294,1927.56708792475,1950.45034914492,2180.46713852764,8163.43786368235,4819.87234398353,941.431204429321,426.800438682097,879.895369707517,360.553111350954
"48","cyp2k21",224.016328376164,292.534796325522,113.494669054026,556.036300007491,349.706225628778,422.361257217658,190.319298579771,938.958376877389,133.866902898152,777.142389670344,398.729993936953,504.495491933682,326.358262768273,154.559057353046,490.585408982715,319.121280656786,210.015264585237,442.701260951309,421.048192785104,560.122625180327,90.3375012594801,104.658070458971,449.410655563958,195.242845646393
"49","cyp2k16",167.811514805083,562.125687056885,61.6818853554488,62.9475056612253,76.6346513860568,108.030768410064,112.78180656579,358.562114201321,96.4629153236683,33.6263533991976,62.8433142618024,69.7706531397646,173.205335445794,194.656632743565,122.341192815257,118.941475304984,263.873029072472,82.5376418191152,189.268945363593,55.4134402669215,263.688946597794,23.1140458825317,146.839059225339,19.1834530681742
"50","cyp2k8",28.1024067855403,24.2185670160563,64.1491607696667,121.052895502356,104.766358856888,59.2216862970831,24.6710201862666,11.1614665899244,9.84315462486412,63.5164453095954,82.3464117913272,35.7798221229562,66.9185125379317,39.3951183439585,37.8863867708223,29.3711473455572,38.8233781904211,95.0136468854424,15.2252138003517,60.547559741293,22.0185717129239,32.0485748676139,8.20682218154191,23.4248272026469
"51","cyp2k6",1.60585181631659,0,0.82242513807265,34624.3561908873,27459.9416976051,33001.4473859899,3.52443145518094,2.7903666474811,7.87452369989129,25165.5892578106,19572.4418762965,23172.8017979326,15848.0289252395,17521.5858163772,11320.837042307,12525.1593286885,0.809425651463079,31695.2484248274,4.72977393418444,22636.9443106799,0.803004828118054,3756.57098328977,2.74805405735783,2834.81601569097
"52","dnajc7",1286.28730486959,1073.90224794881,1297.78686787864,1599.91576888948,2789.88933400379,1658.20721631833,1059.09165228187,1151.02624208595,1393.79069488076,1776.59233792427,3014.3120737299,1656.60576429287,1617.66478998477,613.820775552124,1675.23646086594,712.374355440381,1219.32547356568,2016.00410640386,1201.30286308286,2149.17005864901,126.071392071956,670.837709385718,172.920982657695,751.633038228504
"53","nfe2l1a",138.103256203226,502.216600227693,376.670713237274,644.808423375885,566.514384929837,479.955974110975,363.016439883637,1219.39022494924,980.378200636466,975.16424857673,977.321887312857,661.92670927469,451.378225347482,177.648655213352,862.866285105603,302.276650885668,338.996856556064,563.759594138899,854.261621823114,871.470948388092,184.957079972887,82.4607431532502,441.897113054141,181.473840981118
"54","hmox1a",138.103256203226,897.998971726928,225.344487831906,636.738230342395,1336.74113430362,4085.32017285647,146.263905390009,789.67376123715,224.423925446902,851.867619446339,1428.06014132854,4660.32183151504,1220.04104221076,1471.55749337818,1350.10186406066,1687.73975476595,420.482238587354,2019.59984583416,386.78719735802,2313.41653076331,415.835822104399,1822.88270837523,351.091775323166,2052.79634245355
"55","naa60",401.462954079147,282.974835661289,248.37239169794,341.369165316645,452.532466729057,397.305928399662,433.505068987256,404.603163884759,307.10642429576,414.72502525677,513.581568277488,540.275314056639,354.002956980623,77.7149740802615,435.632760793112,83.6057367375588,310.936727146125,397.069186815121,381.738219055925,489.527302530299,80.2843733494,55.5820288417043,66.2288352719641,66.1413224082334
"56","sult3st1",2574.98338746365,1071.99025581596,541.155740851804,2461.81238486626,1855.72263419654,2821.49034001103,2410.71111534377,2498.77333281932,653.585467090977,2776.0422861782,2505.06452712564,3418.76200384846,1887.85912386754,911.429000289248,2377.15645540106,921.631817070626,1396.04312804381,2379.67511969127,1854.35663841802,2899.9562723841,1054.92721172127,488.094983734073,1040.83009802478,469.283258518234
"57","hsd17b14",755.553279576954,512.413891602875,758.275977302983,320.38666342957,486.484527469715,286.997402824326,1353.38167878948,848.271460834253,1307.17093418195,470.768947588766,777.956890344381,486.605580872204,520.01862370107,203.753437843403,874.025915435174,384.707629866991,675.414382827604,364.622864574537,1169.6080246019,578.44380626845,141.169130391011,106.84759867973,279.243171160538,172.964744316741
"58","aldh16a1",2623.15894195315,2282.28127590783,1150.57276816364,2446.07550845095,4428.31877946012,2234.805173013,1986.01712499446,1393.78814041681,822.88772663864,1752.30663824707,3211.51005986176,1520.64244022564,2527.53540782478,1064.95292778493,1781.19202173073,803.10800670651,2018.67099534154,3036.39982030802,1400.89766401664,2161.48637944482,770.873073095814,1210.05685002577,581.597290506289,916.69480866779
"59","fthl27",7205.45709981253,10407.6105097947,6391.88817310064,5361.43274179937,4510.28875467685,5414.55417573331,12317.8879358574,15677.6750088725,10585.3284835789,11462.8502476376,8943.25372270546,10746.4695746299,6548.53857581956,2107.04156112896,11622.2441622136,2279.25474924055,8001.65192756929,5095.42522406984,12860.2971427696,10384.1911816576,2122.95810702093,507.438653973141,2589.14157477434,1298.27804711603
"60","fthl28",50.5843322139725,52.8984490087545,18.0933530375983,12.1052895502356,16.976030370329,8.7856347803365,63.439766193257,78.1302661294707,23.6235710996739,14.9450459551989,30.3381517125942,7.15596442459124,26.5738481602044,19.7953761352582,36.2721275857977,28.2417342555357,40.5253780867751,12.6223182336337,55.0645344741339,17.4797206974615,19.4611303626008,4.11960361864276,28.2020093349671,11.7971133715333
"61","fthl31",358.104955038599,219.241764566404,351.997959095094,87.5615944133712,99.9160644653652,87.5309539226118,415.882911711351,286.012581366812,403.569339619429,138.24167508559,125.686628523605,150.275252916416,200.725548583574,129.441970693048,253.278064870534,134.32935414592,309.781559566699,91.6695376004494,368.488277565864,138.067852175204,78.4691959235284,7.1417181903413,71.6909085034809,12.2952337588929
"62","hsd3b7",17231.5929149851,13622.9439465316,9351.7962450241,3038.02416745747,2589.57217563391,8002.08631548278,11665.8681166489,9000.32762145027,6220.87372291412,2329.55903826663,1917.80459040328,6349.12943571858,8972.66929418584,5777.27589586846,6247.2604209003,3769.46505055811,13402.1110355136,4543.22755285805,8962.35648700444,3532.16435479616,3944.53726955695,3003.84008430576,2722.69578584152,2448.23500336181
"63","rarab",25.6936290610654,64.3704018058337,67.4388613219573,335.316520541527,431.67620084551,263.894437290848,112.78180656579,199.511215294898,309.075055220733,539.889785131561,814.796074566817,518.807420782865,198.06500847779,168.75722863159,415.810226260444,258.91996762787,52.5009640629521,343.629052892628,207.122692360474,624.497760160414,23.2664730541193,84.1991905599107,98.3677325357135,165.139949349245
"64","aldh3b1",73.869183550563,40.7891655007263,21.3830535898889,330.474404721433,417.125317670942,314.330488807595,38.7687460069904,33.4843997697731,11.8117855498369,250.329519749582,316.383582145626,243.302790436102,199.661935640191,173.435195408581,149.013470609652,135.272569116816,45.3471342137261,353.976737066657,28.0216437755335,270.00529744377,26.5382698881013,55.2807735972481,14.2846318315029,40.3181435600155
"65","clpp",2970.82586018569,1487.52987935461,2871.90858214969,2124.88182571803,2184.08756450262,1846.93566715518,2058.26796982567,916.63544369754,2352.51395534252,1752.30663824707,1568.91584570845,1449.08279597973,2247.69489651097,577.953090177531,1682.95377480016,499.785047518174,2443.42144056333,2051.96835245861,1775.80578962191,1590.10175997842,829.302516917706,180.014253347638,758.469140759892,152.718063281441
"66","thraa",770.808871831962,263.854914332823,750.051725922257,843.738681651424,889.058961966089,802.4213099374,807.094803236436,538.540762963851,1694.9912264016,1053.62573984152,1490.90345559035,1064.44970815795,719.989077606993,229.01460758648,1108.26761603195,426.814778244114,594.905170695681,845.072984518304,1013.54226420063,1202.99296786327,286.885724557731,43.334235430736,605.235354387256,249.396524193822
"67","abcc1",57.0077394792389,117.268850814588,139.812273472351,1493.3892208474,838.615900294254,1204.60814654836,52.8664718277142,82.3158161006923,139.77279567307,1094.72461621832,615.43107759834,1007.20199276122,641.783688576033,624.467821414699,498.718795029893,475.06164307131,104.696287922059,1178.87108923001,91.6516945338256,905.78589552596,42.8100422298208,328.144514530726,44.1989394744622,255.23419172309
"68","abcc6b.2",514.675507129466,105.796898017509,787.883282273599,131.140636794219,101.371152782822,147.403427981201,357.729792700866,89.2917327193951,513.812671417907,61.6483145651956,54.1752709153469,87.6605642012427,298.045150829803,287.42310414171,194.053057753325,194.127480419703,469.451895806858,126.638405852748,320.278065612723,67.8280498939284,343.284634323589,23.3440603274707,214.724196924287,17.5772029390488
"69","cyp3c4",301.900141467518,288.710812059829,618.463703830633,628.26452765723,147.933978941439,163.998515899615,165.648278393504,276.246298100628,395.694815919537,427.801940467569,60.6763034251885,152.064244022564,358.211946642711,214.754036573929,246.355313388165,145.602034644067,403.024885785993,313.399007499428,279.19646413789,213.514162638441,186.691999943516,272.799815203571,115.051640434479,191.121369074384
"70","cyp3c3",165.402737080608,748.863585364897,2001.78278606883,237.667184836293,135.808242962632,206.299720397531,250.234633317847,1785.8346543879,2080.84288769627,209.230643372785,123.519617686991,551.009260693525,582.637376118465,731.570957523638,833.445282859221,869.090263911486,972.016369504779,193.258382732152,1372.30405846734,294.5865072511,938.307409585223,52.1667362979733,982.871970589974,226.16601500507
