"","Geneid","L1_CPM","L2_CPM","L3_CPM","L4_CPM","L5_CPM","L6_CPM","mean_CPM","std_CPM"
"137","LOC141384404",0,0,0,0,0,0,0,0
"138","ndfip2",55.3859869652128,111.95966820466,110.747946246224,19.1896278422929,45.3814646126703,26.7782336408419,61.5738212519836,40.6557809345181
"139","tuba8l2",293.85131925985,251.139128275027,153.77433045547,106.034528039387,126.89148946267,134.095222739574,177.631003038663,76.2570191412701
"140","LOC141384402",0.319271404411054,0.609138564769643,0.44529246270889,0.0364129560574819,0,0,0.235019231324511,0.261224450204889
"141","stk16",6.59827569116178,6.66571629447923,7.49575645559965,7.13693938726644,8.44663469948179,7.94243037647481,7.38095881741062,0.727709299103938
"142","mnx2b",0,0.0348079179868367,0,0,0,0,0.00580131966447279,0.0142102730127324
"143","atic",5.56444447687837,4.87310851815714,2.00381608219,8.81193536591061,16.6821035314765,9.37081212402265,7.88437001643922,5.08921737622013
"144","fn1b",872.842409459191,1607.82994368897,2682.70154929493,1110.7226050994,2465.95660671962,1051.57150324418,1631.93743625105,772.656346026502
"145","cpo",0.197644202730652,7.77956967005801,0,0,0,2.69979846789262,1.77950205678021,3.12569716475812
"146","nrp2a",0.182440802520602,0.556926687789388,0.556615578386112,1.38369233018431,0.383937940885536,0.565074097931014,0.60478123961616,0.409885920851992
"147","pard3ba",1.00342441386331,8.19726468590005,2.00381608219,1.74782189075913,0.729482087682518,1.28711322306509,2.49482039724335,2.8325324646447
"148","LOC137494837",0,0,0,0,0.0383937940885536,0,0.0063989656814256,0.0156742008010736
"149","abcb6a",4.31776565965425,9.74621703631428,5.84446357305418,6.11737661765695,5.75906911328304,5.52516895754769,6.2183434929184,1.83845001211027
"150","cnppd1",6.61347909137183,11.7650762795508,12.0600041983658,9.21247788254291,10.9038375211492,8.19357441999971,9.79140823216337,2.15716754133928
"151","prkag3a",1.06423801470351,0.139231671947347,1.1317850093851,0.145651824229927,0,0.188358032643671,0.444877425484926,0.510318131758705
"152","retreg2",2.76701883822913,4.14214224043357,3.17270879680084,7.17335234332393,8.35065021426041,4.7560403242527,5.06031879288343,2.23826367504175
"153","mdh1b",0,0.10442375396051,0,0,0,0,0.0174039589934184,0.0426308190381973
"154","fastkd2",9.25887072792056,8.00582113697245,7.05046399289076,19.0257695400343,15.5110928117757,16.4499348508806,12.5503255100791,5.05250715386279
"155","gtf3c3",0.988221013653261,2.21030279216413,0.612277136224724,2.58531988008121,2.86033765959724,3.62589212839067,2.14705843501854,1.14806333380099
"156","hecw2b",0.212847602940702,0.626542523763061,0.575169430998983,1.67499597864417,1.74691763102919,1.96206284003824,1.13308933456906,0.744627987140624
"157","LOC141384432",0,0,0,0,0,0,0,0
"158","klf7a",0.0304068004201004,0.487310851815714,0.148430820902963,0.0728259121149637,0,0.156965027203059,0.149323235409467,0.176966217027092
"159","LOC141384434",0,0,0,0,0,0,0,0
"160","si:ch211-93g23.2",2.96466304095978,6.99639151535418,4.74978626889483,0.58260729691971,0.518316220195474,1.39698874210723,2.86812551407187,2.58851260410417
"161","ube2f",6.38542808822107,12.3916188033139,9.35114171688669,4.27852233675412,3.99295458520957,4.33223475080444,6.78865004686496,3.41387875398975
"162","erbb4a",0,0,0,0.0182064780287409,0,0,0.00303441300479015,0.00743276353060137
"163","LOC141375510",0,0,0,0,0,0,0,0
"164","LOC141384443",0,0,0,0,0,0,0,0
"165","LOC137496059",0,0,0,0,0,0,0,0
"166","si:ch73-383l1.1",0,0,0,0.0364129560574819,0,0.0627860108812238,0.0165331611564509,0.0269366442760422
"167","LOC141384472",0,0,0,0,0,0,0,0
"168","LOC103909944",0,0,0,0,0,0,0,0
"169","lancl1",2.64539163654873,4.31618183036775,2.67175477625334,3.09510126488596,3.49383526205838,4.01830469639832,3.37342824441875,0.695556852873486
"170","mylz3",6.71990289284218,1.72299194034842,0.519507873160372,0.163858302258668,0.191968970442768,0.549377595210708,1.64460126237719,2.55080073873619
"171","pcnp",6.03574988338992,8.54534386576842,6.19698677269872,11.9980690209403,6.83409534776254,12.82404272249,8.7390479355083,2.99147661823396
"172","mxa",0.501712206931656,1.09644941658536,1.26166197767519,0.254890692402373,0.115181382265661,0.65925311425285,0.648191465018847,0.455553518312012
"173","mxb",0.197644202730652,0.539522728795969,1.09467730415935,0.0182064780287409,0.0383937940885536,0.0627860108812238,0.325205086447416,0.424184855675813
"174","efnb2b",0.0152034002100502,0,0.0742154104514817,0.38233603860356,0.191968970442768,0.251144043524895,0.152477977205459,0.149898720445754
"175","arglu1b",1.12505161554371,3.46338783969025,2.30067772399593,23.1040206184722,7.39080536204657,26.2288560456312,10.6021332008967,11.1399749200706
"176","en1b",0,0,0,0,0,0,0,0
"177","LOC141384475",0,0,0,0,0,0.0313930054406119,0.00523216757343532,0.0128161408036526
"178","LOC141384503",0,0,0,0.0364129560574819,0.0383937940885536,0.125572021762448,0.0333964619847472,0.0487367980160268
"179","LOC141384501",0.0304068004201004,0.174039589934184,0.0742154104514817,0.619020252977192,0.326347249752706,0.455198578888872,0.279871313737423,0.229629664131451
"180","LOC141384478",0.334474804621104,0.939813785644592,0.185538526128704,2.47608101190877,0.767875881771072,1.97775934275855,1.11359055880546,0.918823907017827
"181","radil",0,0,0.0371077052257408,0,0,0.0156965027203059,0.00880070132434113,0.0152226667963763
"182","LOC103909971",0,0,0,0.0364129560574819,0.287953455664152,0.188358032643671,0.0854540740608842,0.123213190704199
"183","wu:fc47e11",9.00041292434971,5.7781143858149,7.45864875037391,9.28530379465787,10.0975678452896,18.4119976909189,10.0053408985675,4.3946286028799
"184","LOC137489740",0.0304068004201004,0,0,0,0,0.0313930054406119,0.010299967643452,0.0159596886037613
"185","LOC137496065",0,0,0,0.0546194340862228,0,0.0313930054406119,0.0143354065878058,0.0233913662630779
"186","LOC137489738",0,0,0,0,0,0.0156965027203059,0.00261608378671766,0.00640807040182628
"187","ifi44a8",1.93083182667637,13.6098959328532,1.16889271461084,1.05597572566697,1.53575176354214,5.63504447658984,4.15606540665655,4.93788933661726
"188","ifi44a7",1.04903461449346,2.21030279216413,0.111323115677222,0.364129560574819,0.307150352708429,0.455198578888872,0.749523169084489,0.782525709206685
"189","ifi44a6",0.136830601890452,0.174039589934184,0.0371077052257408,0,0.115181382265661,0.0784825136015297,0.0902736321529278,0.0646833178719713
"190","ifi44a5",3.40556164705124,7.04860339233444,1.22455427244945,3.40461139137455,1.72772073398491,3.48462360390792,3.38261250685042,2.04190049577813
"191","LOC137495402",0,0,0,0,0,0,0,0
"192","ifi44a3",0.0152034002100502,0.243655425907857,0.0927692630643521,0.0546194340862228,0.0767875881771072,0.0941790163218357,0.0962023546279042,0.0780066552280968
"193","LOC137487232",0,0,0,0,0.0191968970442768,0,0.0031994828407128,0.00783710040053679
"194","ifi44a1",2.29571343171758,5.84773022178857,3.24692420725232,1.23804050595438,0.767875881771072,1.25572021762448,2.4420007443514,1.89355595806898
"195","si:dkeyp-9d4.3",0.0304068004201004,0.20884750792102,0.0371077052257408,0.218477736344891,0.230362764531322,0.313930054406119,0.173188761474866,0.11428417027469
"196","slc5a10",0.547322407561806,0.469906892822296,0.222646231354445,0.163858302258668,1.19020761674516,0.65925311425285,0.542199094165871,0.369898604112294
"197","fam83gb",0.82098361134271,1.46193255544714,0.779261809740557,2.45787453388003,2.86033765959724,2.13472436996161,1.75251908999488,0.868366026169255
"198","grapb",0,0,0,0,0,0,0,0
"199","cacna1hb",0,0,0,0,0,0,0,0
"200","LOC141384614",0,0,0,0,0.0383937940885536,0,0.0063989656814256,0.0156742008010736
"201","LOC141375511",0,0,0.0371077052257408,0,0.0383937940885536,0.0313930054406119,0.0178157507924844,0.0196579762154173
"202","syngr3b",0,0.31327126188153,0,0,0.0383937940885536,0,0.0586108426616807,0.125699309210741
"203","myo15ab",0,0.0348079179868367,0,0.0364129560574819,0,0.125572021762448,0.0327988159677944,0.0486852199329439
"204","LOC137495406",0,0,0,0,0,0.0313930054406119,0.00523216757343532,0.0128161408036526
"205","alkbh5",2.20449303045728,7.13562318730153,5.00954020547501,7.57389485995623,8.40824090539324,5.90188502283504,6.03894620190305,2.2340017359639
