"","Geneid","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E46","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN46"
"419","abcd3a",4993.3363752592,4231.91551394603,6653.79272128195,5293.01487016239,174.891427944085,184.597361977766,215.764126393326,191.750972105059
"420","abcb8",164.986830870428,61.7933849493019,137.305689394447,121.361968404726,4.27852233675412,2.18844626304755,3.32765857670486,3.26487572550218
"421","abcd4",117.460503905562,42.032459749263,120.637735059997,93.3768995716073,5.27987862833487,1.78531142511774,4.58337879432934,3.88285628259398
"422","slc22a17",2.89133548075229,0.809873983608151,3.41556441279719,2.37225795905254,0.546194340862228,0.614300705416858,0.627860108812238,0.596118385030441
"423","pparab",61.8926501348537,40.1697495869643,67.9014205264082,56.6546067494087,13.6548585215557,17.8147204570889,15.3511796604592,15.6069195463679
"424","fth1b",29.997605612805,27.0497910525122,29.3738539500558,28.8070835384577,1.09238868172446,1.43976727832076,0.973183168658969,1.16844637623473
"425","cat",12861.2023437888,16648.4984936344,15058.3354492755,14856.0120955662,476.572768880323,782.465523524722,535.10947423795,598.049255547665
"426","dnajc24",33.7924834312924,27.5357154426771,23.7040170248125,28.3440719662607,1.89347371498906,1.63173624876353,0.894700655057439,1.47330353960334
"427","cyp2x7",155.680344791756,167.643914606887,147.552382632839,156.958880677161,4.27852233675412,5.16396530491046,3.9555186855171,4.46600210906056
"428","cyp2x8",2525.40083396958,2213.38559720108,3145.5982016097,2628.12821092679,71.1327096582908,80.9917086298038,86.7702670378513,79.6315617753153
